SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
266/22,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,27/04/2022,ND,640,ND,ND,ND,ND,ND
267/22,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,27/04/2022,ND,ND,ND,5600,ND,ND,ND
268/22,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,27/04/2022,ND,ND,ND,1520,ND,ND,ND
269/22,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,27/04/2022,ND,ND,ND,ND,ND,ND,ND
270/22,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,26/04/2022,ND,ND,ND,240,ND,ND,ND
271/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,27/04/2022,40,ND,ND,80,ND,ND,ND
272/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,27/04/2022,200,ND,ND,ND,ND,ND,ND
273/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,28/04/2022,ND,ND,ND,4600,ND,ND,ND
274/22,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,03/05/2022,ND,680,ND,ND,ND,ND,ND
275/22,Portland,B25AK,Dorset Council,SY68707757,Site A,03/05/2022,ND,ND,ND,520,ND,ND,ND
276/22,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,03/05/2022,ND,ND,ND,ND,ND,ND,ND
277/22,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,03/05/2022,ND,ND,ND,ND,ND,ND,ND
278/22,The Thames,B16BR,London PHA,TQ93798271,Phoenix,03/05/2022,ND,ND,ND,ND,ND,ND,ND
279/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,03/05/2022,ND,ND,ND,160,ND,ND,ND
280/22,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,03/05/2022,ND,ND,ND,ND,ND,ND,ND
281/22,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,03/05/2022,ND,ND,ND,ND,ND,ND,ND
282/22,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,03/05/2022,ND,ND,ND,9200,ND,ND,ND
283/22,The Wash,B003V,Boston BC,TF44234098,Toft,03/05/2022,ND,ND,ND,ND,ND,ND,ND
284/22,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,03/05/2022,ND,ND,ND,120,ND,ND,ND
285/22,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,03/05/2022,ND,ND,ND,ND,ND,ND,ND
286/22,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,03/05/2022,ND,ND,ND,240,ND,ND,ND
287/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,03/05/2022,ND,400,ND,ND,ND,ND,ND
288/22,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,03/05/2022,ND,1320,ND,680,ND,ND,ND
289/22,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,03/05/2022,ND,1040,ND,280,ND,ND,ND
290/22,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,03/05/2022,ND,ND,ND,ND,ND,ND,ND
291/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,04/05/2022,ND,ND,ND,ND,ND,ND,ND
292/22,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,04/05/2022,ND,ND,ND,ND,ND,ND,ND
293/22,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,03/05/2022,ND,ND,ND,400,ND,ND,ND
294/22,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,04/05/2022,ND,ND,ND,ND,ND,ND,ND
295/22,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,04/05/2022,ND,ND,ND,ND,ND,ND,ND
