SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,,
819/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,12/10/2021,ND,ND,ND,300,ND,ND,ND,,
820/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,12/10/2021,ND,ND,ND,1000,ND,ND,ND,,
821/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,12/10/2021,ND,ND,ND,400,ND,ND,ND,,
822/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,12/10/2021,ND,ND,ND,ND,ND,ND,ND,,
823/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,12/10/2021,ND,ND,ND,ND,ND,ND,ND,,
824/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,12/10/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
825/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,12/10/2021,ND,ND,ND,39400,ND,ND,ND,,
826/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,11/10/2021,ND,ND,ND,ND,ND,ND,ND,,
827/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,12/10/2021,ND,ND,ND,160,ND,ND,ND,,
828/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,11/10/2021,ND,40,ND,ND,ND,ND,ND,,
829/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,13/10/2021,ND,ND,ND,ND,ND,ND,ND,,
830/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,13/10/2021,ND,ND,40,2680,ND,ND,ND,,
831/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,13/10/2021,ND,160,ND,20880,ND,ND,ND,,
832/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,13/10/2021,ND,ND,ND,ND,ND,ND,ND,,
833/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,13/10/2021,ND,ND,ND,ND,ND,ND,ND,,
835/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,12/10/2021,ND,200,ND,800,ND,ND,ND,,
836/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,13/10/2021,ND,ND,ND,ND,ND,ND,ND,,
837/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,13/10/2021,ND,ND,ND,ND,ND,ND,ND,,
838/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,18/10/2021,ND,ND,ND,ND,ND,ND,ND,,
839/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,18/10/2021,ND,ND,ND,ND,ND,ND,ND,,
841/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,18/10/2021,ND,ND,ND,4400,ND,ND,ND,,
842/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,17/10/2021,ND,200,ND,13200,ND,ND,ND,,
843/21,Portland,B25AK,Dorset Council,SY68707757,Site A,18/10/2021,ND,ND,ND,720,ND,ND,ND,,
844/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,19/10/2021,ND,ND,ND,ND,ND,ND,ND,,
845/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,19/10/2021,ND,ND,ND,ND,ND,ND,ND,,
846/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,19/10/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
848/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,19/10/2021,ND,ND,ND,400,ND,ND,ND,,
849/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,20/10/2021,ND,ND,17480,ND,ND,ND,ND,,
850/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,20/10/2021,ND,80,ND,4360,ND,ND,40,,
851/21,Swale,B076P,Swale BC,TR01316497,The Causeway,21/10/2021,ND,ND,ND,200,ND,ND,ND,,
852/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,25/10/2021,ND,ND,ND,ND,ND,ND,ND,,
853/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,25/10/2021,ND,40,ND,7080,ND,ND,ND,,
854/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,26/10/2021,ND,ND,ND,ND,ND,ND,ND,,
855/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,25/10/2021,ND,40,ND,ND,ND,ND,ND,,
856/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,27/10/2021,ND,ND,ND,ND,ND,ND,ND,,
857/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,26/10/2021,ND,ND,ND,ND,ND,ND,ND,,
858/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,01/11/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
859/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,01/11/2021,ND,ND,ND,2400,ND,ND,ND,,
860/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,01/11/2021,ND,ND,ND,1280,ND,ND,ND,,
861/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,01/11/2021,ND,40,ND,3440,ND,ND,ND,,
862/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,01/11/2021,ND,ND,ND,ND,ND,ND,ND,,
863/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,03/11/2021,ND,ND,ND,ND,ND,ND,ND,,
864/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,04/11/2021,ND,ND,ND,ND,ND,ND,ND,,
865/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,04/11/2021,ND,ND,ND,240,ND,ND,ND,,
866/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,08/11/2021,ND,ND,6160,ND,ND,ND,ND,,
867/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,08/11/2021,ND,ND,ND,ND,ND,ND,ND,,
868/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,08/11/2021,ND,ND,ND,7900,ND,ND,ND,,
869/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,08/11/2021,ND,ND,ND,ND,ND,ND,ND,,
870/21,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,08/11/2021,ND,ND,ND,ND,ND,ND,ND,,
871/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,08/11/2021,ND,ND,ND,ND,ND,ND,ND,,
872/21,The Wash,B003V,Boston BC,TF44234098,Toft,08/11/2021,ND,ND,ND,ND,ND,ND,ND,,
873/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,09/11/2021,ND,ND,ND,ND,ND,ND,ND,,
874/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,08/11/2021,ND,ND,ND,ND,ND,ND,ND,,
875/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,09/11/2021,ND,ND,ND,400,ND,ND,ND,,
876/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,09/11/2021,ND,ND,ND,400,ND,ND,ND,,
877/21,Fal (Lower),B33BW,Cornwall PHA,SW83663789,East Bank North,09/11/2021,ND,ND,ND,400,ND,ND,200,,
878/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,09/11/2021,ND,ND,ND,360,ND,ND,40,,
879/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,09/11/2021,ND,ND,ND,80,ND,ND,ND,,
880/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,09/11/2021,ND,ND,ND,ND,ND,ND,ND,,
881/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,09/11/2021,ND,ND,ND,ND,ND,ND,ND,,
882/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,08/11/2021,ND,ND,ND,ND,ND,ND,200,,
883/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,09/11/2021,ND,ND,ND,ND,ND,ND,ND,,
884/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,09/11/2021,ND,ND,ND,ND,ND,ND,ND,,
885/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,09/11/2021,ND,ND,ND,5400,ND,ND,ND,,
886/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,09/11/2021,ND,ND,ND,ND,ND,ND,ND,,
887/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,09/11/2021,ND,ND,ND,ND,ND,ND,ND,,
888/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,08/11/2021,ND,ND,ND,400,ND,ND,ND,,
889/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,08/11/2021,ND,ND,ND,80,ND,ND,ND,,
890/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,09/11/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
892/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,10/11/2021,ND,ND,ND,ND,ND,ND,200,,
893/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,09/11/2021,ND,ND,ND,400,ND,ND,ND,,
894/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,10/11/2021,ND,ND,ND,1400,ND,ND,ND,,
895/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,10/11/2021,ND,ND,ND,ND,ND,ND,ND,,
896/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,10/11/2021,ND,ND,ND,ND,ND,ND,200,,
897/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,10/11/2021,ND,ND,ND,240,ND,ND,ND,,
898/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,11/11/2021,ND,ND,ND,ND,ND,ND,ND,,
899/21,Swale,B076P,Swale BC,TR01316497,The Causeway,11/11/2021,ND,ND,ND,ND,ND,ND,ND,,
900/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,15/11/2021,ND,ND,ND,ND,ND,ND,ND,,
901/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,15/11/2021,ND,ND,ND,ND,ND,ND,ND,,
903/21,Portland,B25AK,Dorset Council,SY68707757,Site A,15/11/2021,ND,ND,ND,ND,ND,ND,ND,,
904/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,15/11/2021,ND,ND,ND,1960,ND,ND,ND,,
905/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,16/11/2021,ND,ND,ND,ND,ND,ND,ND,,
906/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,16/11/2021,ND,ND,ND,ND,ND,ND,200,,
907/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,16/11/2021,ND,ND,ND,ND,ND,ND,ND,,
908/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,16/11/2021,ND,ND,ND,ND,ND,ND,ND,,
910/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,16/11/2021,ND,ND,ND,ND,ND,ND,ND,,
911/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,17/11/2021,ND,ND,ND,80,ND,ND,ND,,
912/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,16/11/2021,ND,ND,ND,ND,ND,ND,ND,,
913/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,17/11/2021,ND,ND,ND,ND,ND,ND,ND,,
914/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,17/11/2021,ND,ND,ND,400,ND,ND,ND,,
915/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,22/11/2021,ND,ND,ND,ND,ND,ND,ND,,
916/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,23/11/2021,ND,ND,ND,ND,ND,ND,ND,,
917/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,23/11/2021,ND,ND,ND,ND,ND,ND,ND,,
918/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,29/11/2021,ND,ND,ND,ND,ND,ND,ND,,
919/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
920/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
921/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
922/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
923/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,06/12/2021,ND,ND,ND,560,ND,ND,ND,,
924/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,06/12/2021,ND,ND,ND,80,ND,ND,ND,,
925/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
926/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,06/12/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
927/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,05/12/2021,ND,ND,ND,ND,ND,ND,ND,,
928/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
929/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
930/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,06/12/2021,ND,ND,ND,80,ND,ND,ND,,
931/21,The Wash,B003V,Boston BC,TF44234098,Toft,07/12/2021,ND,ND,ND,ND,ND,ND,ND,,
932/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,06/12/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
933/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,07/12/2021,ND,ND,ND,700,ND,ND,ND,,
934/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
935/21,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
936/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,06/12/2021,ND,ND,ND,ND,ND,ND,ND,,
937/21,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,07/12/2021,ND,ND,ND,ND,ND,ND,ND,,
938/21,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,07/12/2021,ND,ND,ND,ND,ND,ND,ND,,
939/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,07/12/2021,ND,ND,ND,ND,ND,ND,ND,,
940/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,08/12/2021,ND,ND,ND,ND,ND,ND,16000,,
941/21,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,08/12/2021,ND,ND,ND,ND,ND,ND,ND,,
942/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,09/12/2021,ND,ND,ND,ND,ND,ND,ND,,
943/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,09/12/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
944/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,09/12/2021,ND,ND,ND,ND,ND,ND,ND,,
945/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,09/12/2021,ND,ND,ND,ND,ND,ND,ND,,
946/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,09/12/2021,ND,ND,ND,400,ND,ND,ND,,
947/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,09/12/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
949/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,13/12/2021,ND,ND,80,ND,ND,ND,40,,
950/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
952/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
953/21,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
954/21,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,13/12/2021,ND,ND,ND,ND,ND,ND,100,,
955/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
956/21,Fal (Lower),B33BW,Cornwall PHA,SW83663789,East Bank North,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
957/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
958/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
959/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,13/12/2021,ND,ND,ND,ND,ND,ND,ND,,
960/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
961/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
962/21,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
963/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
964/21,Portland,B25AK,Dorset Council,SY68707757,Site A,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
965/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
966/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
967/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
968/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,14/12/2021,ND,ND,ND,ND,ND,ND,ND,,
969/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,14/12/2021,"Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency",,
970/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,14/12/2021,"Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency",,
,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,
1 = Information relating to the origin of samples (location & date of collection) is as provided by third parties and has not been verified by Cefas.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,
The trigger levels for phytoplankton samples are as follows (breach of these levels leads to requests for additional flesh and water samples):,,,,,,,,,,,,,,,
Alexandrium spp. (PSP) - 40 cells/litre,,,,,,,,,,,,,,,
Dinophysiaceae/Prorocentrum lima (DSP) - 100 cells/litre,,,,,,,,,,,,,,,
"Pseudo-nitzschia spp. (ASP) - 150,000 cells/litre",,,,,,,,,,,,,,,
Phytoplankton cell count ? trigger Level,,,,,,,,,,,,,,,
Unsuitable sample,,,,,,,,,,,,,,,
